MED_DIRECTIONS,FREQUENCY
(Topamax) 1 tablet by mouth twice a day,85
4 drops right ear twice a day for 7 days,85
2.5 mg for inhalation every 4 hours while awake,85
500mg one tab by mouth twice a day,85
6.25 milliliters (500 mg) by mouth twice a day for 10 day(s),85
(Also Known As Deltasone) 3 tablets by mouth daily for 2 days then 2 tablets by mouth daily for 2 days then 1 tablet by mouth daily for 2 days,85
10mg by mouth three times a day as needed,85
100mg twice daily as needed,85
0.150mg by mouth daily,85
1400 mg by mouth daily,85
2000 international units 1 po daily,85
1 tablet every 12 hours,85
100/25mg 1 po daily ,85
gel apply as needed,85
once daily for allergies,85
20 milligrams subcutaneously daily,85
2 tab orally twice daily with meals,85
75 mg one tablet by mouth once daily,85
"2 puffs from the inhaler every 4 hours as needed for cough, difficulty breathing",85
"6 MG orally at bedtime, as needed for insomnia",85
2000 UN daily for until discontinued,85
(Also Known As Zegerid) 1 capsule by mouth daily,85
"2,000 units 1 capsule by mouth daily",85
75 mg tablet (Also Known As Plavix) 1 tablet by mouth once daily,85
apply 4 gram to the affected area(s) by topical route 4 times per day as needed,85
200mg one tab by mouth twice daily,84
5-325 mg tablet 1 tablet by mouth every 6 hours for 4 day(s) as needed for pain #16 given,84
(Also Known As Dyazide) 1 capsule by mouth every morning,84
(Also Known As Zofran ODT) 1 tablet by mouth three times a day for 10 days as needed for nausea,84
(Also Known As Prilosec) 1 capsule by mouth once daily,84
800 mg tablet 1 tablet by mouth three times a day as needed,84
20mgm 1 by mouth daily,84
To be used for emergency hydrocortisone dosing,84
(Also Known As Zofran (as hydrochloride)) 1 tablet by mouth every 8 hours for 2 day(s),84
4mg one tablet daily,84
40mg take one daily,84
"40mg, once daily",84
shot once a month,84
15mg po once daily,84
1mg 1 tablet PO daily,84
80 mg oral daily,84
once a week by mouth,84
250/50 mcg 1 inhalation twice daily,84
HFA 90 mcg/Actuation Aerosol Inhaler 2 puffs from the inhaler every 4 hours as needed for wheezing,84
0.5-1 tablets by mouth every 6 hours as needed for headache,84
"60 un sub cutaneous once daily, at bedtime",84
1000mg one tab by mouth once daily,84
5 milliliters on the mucous membranes twice a day for 10 days,84
1 tablet by mouth every 8 hours for 7 day(s) as needed for pain,84
30 mg twice daily by mouth,84
(Also Known As Constulose) 15 milliliters (10 gram) by mouth daily,84
10mg. 1 tab po daily,84
"10mg tablet, 1 tablet by mouth daily",84
1000mg 1 capsule by mouth twice a day,84
"5mg, one tablet daily by mouth",84
50 mcg 2 sprays daily,84
17 gram oral powder packet 1 packet by mouth daily as needed,84
2000IU 1 cap po daily,84
5 milliliters by mouth three times a day for 10 days as needed for cough,84
800 MG PO PRN PAIN,84
(Also Known As Zanaflex) 2 tablets by mouth three times a day,84
2 sprays each nostril daily prn,84
800mg by mouth daily as needed,84
 dose unknown one daily,84
5mg tab once daily,84
1500mg 1 po daily,84
10mg 1 tab. by mouth at bedtime,84
88mcg 1 po daily,84
"1 gtt in both eyes twice daily, at 10:00 and 18:00",84
2000 units once a day,84
"50,000IU once a week",84
12.5mg 1 tab daily by mouth ,84
Use daily as directed to inject Genotropin.,84
Take 10 mg by mouth 3 (three) times a day.,84
(Also Known As Prozac) 1 capsule by mouth every evening,84
2400 mg by mouth daily,84
600 mg once a day,84
10 mg 1 tablet by mouth 3 times daily,84
30 milliliters (20 gram) by mouth every 6 hours,84
2 tablets by mouth every 8 hours for 7 day(s),84
500 mg twice daily for until discontinued,84
1 tablet by mouth daily in the morning,84
2 MG orally every 8 hours as needed,84
every four hours as needed,84
1 capsule by mouth every 12 hours for five days,84
12.5 mg i po daily,84
2.5ml by mouth once daily,84
(Also Known As Cleocin) 1 capsule by mouth every 8 hours for 9 days,84
(Also Known As Tessalon Perles) 1-2 capsules by mouth three times a day for 10 day(s) as needed for cough,84
"3 milliliters using a nebulizer every 4 hours as needed for cough, wheezing",84
12.5mg one tablet daily,84
300 mg every 12 hours for until discontinued,84
275 mg orally every 6 hours as needed for pain,84
5 mg one tablet by mouth twice per day,84
sliding scale four times daily,84
0.1 mg as needed,84
2 caps twice daily,84
Please follow instructions on the dose pack.,84
(Also Known As Soma) 1 tablet by mouth every evening at bedtime,84
1000 mg one tablet by mouth per day,84
40 mg every other day  ,84
1000 mg as needed,84
2 mg one tab by mouth daily,84
(Also Known As Roxicodone) 1 tablet by mouth every 4 hours for 14 days,84
10 milliliters (25 mg) by mouth every 6 hours for 5 day(s) as needed for itching,84
(Also Known As Bentyl) 1 capsule by mouth three times a day for 5 days as needed for cramping,84
apply pea sized amount and use in place of regular toothpaste nightly,84
75 mg 1 by mouth daily,84
apply as directed as needed,84
50 mg one tablet at bedtime,84
by mouth every 6 hours as needed,84
 for inhalation every 4 hours while awake,84
apply to aa of face prn,84
81mg Take one tablet by mouth once daily,84
50mg 1 po twice a day,84
(Also Known As Roxicodone) 1 tablet by mouth every 6 hours for 5 days as needed,84
"Evaluation and treatment x 30 days, gait and balance training, ICD10: R26.81 - abnormality of gait, G20 - Parkinson's disease",84
0.6mg by mouth as needed,84
1 tablet by mouth once week,84
25mcg by mouth once daily,84
"1,000 mg take one tablet a day",84
90 mcg 2 puffs every 4 hours as needed,84
4mg 1 tab. by mouth twice daily,84
40mg 1 cap daily,84
Outpatient physical therapy eval and treat,84
"apply to affected areas 2x/day until gone, no more than 2 weeks",84
10 mg by mouth as directed,84
1000mcg once a day,84
1 puff from the inhaler every four or six hours for 10 days as needed for cough,84
81 mg 1 daily by mouth,84
(Zofran) 1 tablet by mouth three times a day as needed for nausea,84
40 mg tablet (Also Known As Lasix) 1 tablet by mouth twice daily,84
1 tablet by mouth every morning as needed for edema,84
2000 IU One capsule by mouth daily,84
40 mg tablet (Also Known As Pravachol) 1 tablet by mouth daily,84
25mg 1 tab by mouth daily as needed,84
145mg by mouth once daily,84
(Also Known As Valium) 1-2 tablets by mouth one time only,84
(Cipro) 1 tablet by mouth twice a day for 5 days,84
750 mg 1 tablet by mouth daily,84
7 milliliters (140 mg) by mouth every 6 hours as needed for fever,84
(Also Known As Roxicodone) 1 tablet by mouth q4h prn for 7 days,84
1-2 tablets by mouth every evening at bedtime for 14 days as needed for pain,84
 81mg 1 tablet by mouth daily,84
40mg every evening,84
100 mg tab orally twice daily,84
7.5 mg po prn pain,84
160 mg once a day,84
(Also Known As DuoNeb) 3 milliliters using a nebulizer four times a day,84
(Also Known As Norco) 1-2 tablets by mouth q 4-6 h as needed for pain,84
15mg twice daily by mouth,84
2.5 ml by mouth once daily,84
(Also Known As Prozac) 1 capsule by mouth twice a day,84
250 mg 1 tab daily,84
1 - 2 tablet 3 every 4 hours as needed for Day(s),84
(Also Known As Requip) 1 tablet by mouth four times a day,84
250mg once daily by mouth,84
75 MG orally twice daily,84
(Also Known As Tessalon) 1 capsule by mouth three times a day as needed,84
10mg po one tab daily,84
2 tablets by mouth every 8 hours for 7 days as needed,84
2 tablets by mouth daily for 7 days then 1 tablet by mouth daily for 7 days,84
5mg one tab by mouth once daily,84
50-12.5mg by mouth daily ,84
"20 mg orally once daily, in the morning home med",84
500 mg by mouth twice daily as needed,84
75mg by mouth as needed,84
100mcg one tab by mouth daily,84
(Also Known As Ultram) 1 tablet by mouth every 8 hours for 5 days as needed for pain,84
5 mg PO as needed,84
(Miralax) 1 packet by mouth daily,84
500mg 2 Tabs BID,84
200mg 1tab by mouth daily,84
10mg (1) tablet by mouth once daily,84
10mg po 1 tab. @ bedtime,84
15 mg one tablet by mouth twice daily,84
1 tablet by mouth every 6 hours for 21 day(s) as needed for pain,84
50 mg by mouth three times a day,84
1000 IU take 1 tab by mouth daily,84
(Glucophage) 1 tablet by mouth daily,84
325mg by mouth  daily,84
2 tablets per day,84
7.5mg 1 tab daily,84
2 puffs po as needed,84
(Also Known As Ambien) 1 tablet by mouth every evening at bedtime for 14 days,84
1-2 tablets by mouth every 4-6 hours for 7 days as needed for pain,84
180 mg Tab 1 tablet by mouth daily as needed,84
20 units subcutaneously three times a day,84
20 mg - Once daily by mouth ,84
2000 iu 1 tablet daily,84
180mg tablet by mouth daily,84
1 drop in the right eye three times a day for 14 days,84
.5mg 1 tablet by mouth daily,84
600mg 1 tablet by mouth as needed,84
0.3mg once daily,84
112 mcg one by mouth daily,84
250 mg once a day,84
on a sliding scale,84
100mg Take 1 tablet by mouth twice daily,84
1-2 tablets by mouth q4 - 6 hrs as needed for pain,84
200mg 1 by mouth twice daily,83
(Also Known As Tussionex Pennkinetic ER) 5 milliliters by mouth every evening at bedtime for 10 days as needed for cough,83
Two tabs daily by mouth ,83
"40 mg capsule,delayed release (Also Known As Prilosec) 1 capsule by mouth twice a day",83
1200mg by mouth once a day,83
1 tablet by mouth every 8 hours for 1 week as needed for nausea/vomiting,83
325mg  1 tablet by mouth daily,83
250mg one tablet daily,83
"surgical bras. Diagnosis: History of Breast Cancer, . ICD9: V10.3",83
1/2 tab twice daily,83
(Also Known As Revatio) 1 tablet by mouth daily as needed for sexual activity,83
3 tablets by mouth every morning and 2 tablets by mouth every evening,83
(Also Known As Hyzaar) 0.5 tablet by mouth daily,83
"Portable suction machine, with Yanker suction x3, with as needed refills, 12-14 French suction catheters x 3 with refills as needed, with car adapter if available",83
Take 300 mg by mouth 3 (three) times a day.,83
(Also Known As Polytrim) 1 drop in eyes as directed four times a day for 10 day(s),83
20/12.5mg by mouth twice daily,83
1 tablet by mouth every 8 hours for 7 day(s),83
4 mg by mouth at bedtime,83
34 units subcutaneously daily,83
Take 50 mcg by mouth Daily.,83
60mg daily x 2 days; then 40mg po daily x 2days; then 20mg po daily x 3 days,83
300 mg by mouth nightly,83
175 mcg one tablet by mouth daily,83
1000IU oral daily,83
use to test BG; must have kit for home and school,83
1 by mouth three times daily,83
(Also Known As Norco) 1 tablet by mouth three times a day for 5 days as needed for pain,83
(Also Known As Ilotycin) 0.5 centimeters in eyes as directed three times a day for 7 days,83
5 mg. one by mouth daily,83
40 mg by mouth at night,83
2mg by mouth once a day,83
10 mEq 1 tablet by mouth once daily,83
600mg four times daily,83
"81 mg tab, 1 tab by mouth daily",83
?mg orally once daily,83
50 mg one tablet by mouth twice per day,83
20 units subcutaneously every evening,83
325mg twice daily by mouth,83
1 applicatorfuls intramuscularly one time only as needed for anaphylaxis,83
81 mg; take one tablet by mouth once daily,83
12.5 mg one orally daily,83
(Also Known As Lamictal) 2.5 tablets by mouth twice a day,83
500mg by mouth four times daily,83
"50 mcg/actuation nasal spray,suspension (Also Known As Flonase) 2 sprays in each nostril daily",83
Give as directed,83
(Also Known As Keppra) 1 milliliter (100 mg) by mouth twice a day,83
5 drops in each affected ear daily,83
4 mg by mouth every 8 hours as needed,83
10mg  1tab  by mouth daily,83
"take 1 tablet by oral route for 21 consecutive days, followed by 7 days off",83
(Also Known As Hycet) 10 milliliters by mouth every 6 hours for 10 days as needed for pain,83
300 mg one capsule by mouth twice daily,83
Breathing treatment as needed ,83
8.6 mg-50 mg tablet 2 tablets by mouth twice a day ,83
1 GTT ou twice a day,83
"40mg, 1 tablet by mouth once daily",83
(Also Known As Constulose) 30 milliliters (20 gram) by mouth three times a day,83
20 mg oral twice daily,83
one tablespoon daily,83
(Also Known As Norco) 1 tablet by mouth q6-8h as needed for pain,83
50 mg one tablet by mouth twice a day,83
400 iu 1 tab daily,83
20mg take by mouth daily,83
2.5 milliliters (125 mg) by mouth twice a day for 14 days,83
2 puffs from the inhaler every 4 hours for 7 days as needed for shortness of breath,83
10 mg Tab (Norvasc) 1 tablet by mouth daily,83
5000IU 1 cap po daily,83
apply to the affected area(s) by topical route every 2 hours during waking hours for 4 days,83
(Also Known As Xanax) 1 tablet by mouth three times a day for 5 days as needed for anxiety,83
50 mcg one spray in each nostril daily,83
4 milliliters (80 mg) by mouth every 6 hours as needed for fever/pain,83
(Also Known As Maxitrol) 0.5 centimeter in both eyes every evening at bedtime for 10 days,83
50mg 1 tab at bedtime,83
325mg 2 tablets by mouth daily,83
x mg by mouth as needed for pain,83
20 mg 1 tab by mouth as needed,83
50 mcg one orally daily,83
10 milliliters (500 mg) by mouth daily for 10 days,83
"1000mg,1 by mouth daily.",83
"81 mg, 1 tablet by mouth daily",83
1 tablet by mouth three times a day for 5 day(s) as needed for nausea,83
2 tablets by mouth at bedtime as needed,83
100 mg take one tablet twice daily,83
1 puff from the inhaler four times a day as needed for Shortness of breath,83
APPLY ONCE DAILY TO THE FACE,83
5mg by mouth every evening,83
(Motrin) 1 tablet by mouth every 8 hours as needed,83
(Also Known As Mobic) 1 tablet by mouth twice a day for 3 weeks,83
(Also Known As Aldactone) 1 tablet by mouth every evening at bedtime,83
(Also Known As Avidoxy) 1 tablet by mouth twice a day for 5 days,83
10mg by  mouth daily,83
(Flonase) 1 sprays in the nose as directed twice a day,83
"10 meq orally twice daily, at 10:00 and 18:00",83
324mg by mouth daily,83
two sprays each nostril daily as needed,83
2 puffs from the inhaler every 4 hours for 30 day(s),83
(Cipro) 1 tablet by mouth twice a day for fourteen days,83
nasal spray 2 sprays in each nostril daily,83
10 mg tablet 1 tablet by mouth daily prn,83
(Also Known As Lamictal) 1 tablet by mouth every 12 hours,83
800mg by mouth once daily ,83
400MG (Oral Tablet) Oral two times daily,83
(Also Known As Tessalon) 1 capsule by mouth three times a day for 10 days,83
20mg capsule by mouth twice daily,83
100 milligrams injection x1 as needed for emergency,83
"81mg, one tablet by mouth once daily",83
2 puffs from the inhaler q4h prn as needed for shortness of breath,83
10 milliliters (60 mg) by mouth every 12 hours for 5 days,83
0.5 mg 1 tablet twice daily,83
200 mg tablet (Also Known As Plaquenil) 1 tablet by mouth daily,83
5mg every morning,83
                 as needed               ,83
? mg once daily by mouth ,83
60mg one tablet by mouth twice daily,83
blood ketone test strips. use as dir prn.,83
20 mg orally qpm,83
(Also Known As MS Contin) 1 tablet by mouth every 12 hours for 3 days,83
(Also Known As Prenatal Plus (calcium carb)) 1 tablet by mouth daily,83
2.5mg  1 tab by mouth once daily,83
40mg 1 tablet by mouth 2 times a day,83
500 mg 2 tabs twice daily,83
1/2 teaspoon by mouth daily,83
12.5 mg po twice daily,83
1-2 sprays in each nostril twice a day as needed,83
5 mg tablet 1/2 tablet by mouth daily,83
